iter	Logloss
0	0.6582808326
1	0.6180283779
2	0.5953283902
3	0.559306096
4	0.54427656
5	0.523239615
6	0.5045624387
7	0.476300299
8	0.4641062219
9	0.4370803661
10	0.4200918001
11	0.4085683376
12	0.3934475595
13	0.3724518865
14	0.3602170687
15	0.3523584851
16	0.3415628733
17	0.3322531293
18	0.3211180013
19	0.3157244612
20	0.3050876568
21	0.2993303496
22	0.2864211644
23	0.2814601434
24	0.2766821672
25	0.2687831634
26	0.2641564875
27	0.2609490691
28	0.2556123199
29	0.2504042243
30	0.2425532053
31	0.23834083
32	0.2308199591
33	0.2238671862
34	0.2161008366
35	0.2106311938
36	0.2066922866
37	0.2021948839
38	0.1977883043
39	0.1920499987
40	0.1869113507
41	0.1838284155
42	0.1755772562
43	0.1709067061
44	0.1683601819
45	0.1656719837
46	0.1617937561
47	0.1587271259
48	0.1499170209
49	0.1465972313
